"Name","Sales Price","Available in POS","Point of Sale Category","Sales Description"
"Thukpa Soup",220,1,"Soups","Hot & Spicy Noodle Soup with Fresh Vegetables"
"Vegetable Manchow Soup",220,1,"Soups","A dark brown, hot and spicy Indo-Chinese soup"
"Vegetable Hot & Sour Soup",220,1,"Soups","A spicy and tangy broth with finely chopped vegetables"
"Sweet Corn Soup",220,1,"Soups","A warm, slightly thick soup"
"Roasted Tomatoes Soup With Basil",220,1,"Soups","Sweet & Savoury Tomato Broth with Croutons"
"Cream Of Mushroom Soup",220,1,"Soups","Creamy mushroom broth with cheesy dumplings"
"Broccoli Almond Soup",220,1,"Soups","A healthy, creamy soup with broccoli and rich almonds"
"Tomato Soup",220,1,"Soups","A classic dish made primarily from tomatoes"
"Dal Dhaniya Shorba",220,1,"Soups","An Indian soup made with yellow moong dal, masoor dal, fresh coriander stems and whole spices"
"Citrus Crunch Salad",225,1,"Salads","Charred corn & onion with orange maple dressing"
"Garden Green Salad",225,1,"Salads","Carrot, Cucumber, Tomato, Onion, Chilli & Lemon"
"Som Tum Salad",225,1,"Salads","Raw papaya salad with Thai chilli & peanuts"
"Veg. Club Sandwich",220,1,"Traditional & Asian Specials","Three-layer sandwich made with toasted bread, fresh vegetables, spreads, and often cheese"
"Bombay Sandwich",200,1,"Traditional & Asian Specials","Soft white bread, butter, green coriander-mint chutney, and boiled potatoes"
"Veg Burger",200,1,"Traditional & Asian Specials","Vegetable patty inside a bun with lettuce, tomatoes, and sauces"
"Cheese Burger",220,1,"Traditional & Asian Specials","Vegetable and potato patty with a slice of cheese, crisp lettuce, and sliced tomatoes, served with tomato ketchup"
"Cheese Chilli Tossed",175,1,"Traditional & Asian Specials","Quick-baked canapé made with a balanced combination of cheese & chilli"
"Margherita",220,1,"Pizza","Classic pizza topped with rich tomato sauce, fresh mozzarella, and aromatic basil"
"Veggie Pizza",230,1,"Pizza","Classic pizza topped with fresh vegetables, mozzarella cheese, and flavorful herbs"
"Paneer Tikka Pizza",230,1,"Pizza","Classic pizza topped with smoky paneer tikka, onions, capsicum, mozzarella cheese, and aromatic herbs"
"Teriyaki Temple Noodles",275,1,"Asian Selection","Noodles with vegetables in teriyaki sauce"
"House Noodles",275,1,"Asian Selection","Wok-tossed noodles with vegetables"
"Butter Chilli Garlic Noodle",275,1,"Asian Selection","Noodles tossed in butter, chilli & garlic"
"Traditional Red Thai Curry",400,1,"Asian Selection","Steamed jasmine rice, vegetables & tofu in Thai-spiced coconut curry (Red / Yellow / Green)"
"Classic Burnt Garlic Fried Rice",200,1,"Asian Selection","Jasmine rice tossed in sesame oil & burnt garlic"
"Spicy Paneer Dumpling",300,1,"Appetizers","Crispy dumplings stuffed with paneer served with spicy sauce"
"Spring Roll Thai Style",270,1,"Appetizers","Traditional Thai wrap stuffed with juliennes of vegetables"
"Dry Manchurian",220,1,"Appetizers","Crispy deep-fried veg. balls tossed in a thick, sticky, and glossy umami sauce"
"Wok Tossed Dry Chilli Paneer",275,1,"Appetizers","Oriental spicy preparation of cottage cheese tossed with bell peppers and onions"
"Crispy Wonton",300,1,"Dim Sum Appetizers","Crispy stuffed wontons"
"Dim Sum",250,1,"Dim Sum Appetizers","House Surprise Dim Sum – Chef's special assorted dim sum"
"OG Paneer Tikka",350,1,"Dim Sum Appetizers","Paneer marinated in Indian spices"
"Tandoori Bharwan Mushrooms",375,1,"Dim Sum Appetizers","Mushrooms stuffed with spices & cheese"
"Dahi Ke Kebab",300,1,"Dim Sum Appetizers","Creamy kebab made with curd & kataifi"
"Peri Peri Paneer Tikka",350,1,"Dim Sum Appetizers","Paneer marinated in peri-peri sauce"
"Mutter Kaju Seekh Kebab",375,1,"Dim Sum Appetizers","Matar, cashew & peas kebabs"
"House Chaap",275,1,"Dim Sum Appetizers","Spicy tandoori chaap served with thecha"
"Penne Alfredo Pasta",350,1,"Pasta","Creamy white sauce pasta"
"Spaghetti Aglio e Olio Pasta",350,1,"Pasta","Spaghetti in olive oil, garlic & parmesan"
"Penne Creamy Tomato Sauce Pasta",350,1,"Pasta","Penne in creamy tomato sauce"
